id,review,sentiment
654,ха ха ха ха ха жесть,0
18040,фільм шедевр,1
14748,фільм класний щей таку гру завантажив,1
7819,крутий фільм спецефекти бомба,1
7229,гі о й оскар має,0
7231,оскара має заслужено динамічний красивий легкий екшн,1
3580,уяви маю фільм зайняв кращі місця,0
4608,дивитися оригінал дубляж,0
5281,нічим відрізняються оригінал англійській мові а дубляж укаїнській,0
17477,мовою оригіналу яскравіше заодне й англійську вчиш,1
13328,зйомки межі фантастики двочасовий фільм дивишся одному подиху подвійні відчуття перегляду боку закінчилося а другого якою ціною,1
10781,просльозилась раджу перегляду,1
6765,емоційний фільм ️,1
6445,чудовий сімейний фільм раджу перегляду дітьми старше мотивує зацікавленності сейсмологією,1
5471,сподобався філм український переклад,1
5357,найкрутіших філмів бачив усім раджу переглянути скоріше шкода потраченого,1
4556,прикольний фільм,1
6482,оригінал кращий а пародія,0
2682,тупа пародія класичних мисливців привидів якби кіно презентували пародію можливо пішло людей зненавиділи обман глядача бо томість сказали класне кіно гірше оригіналу бачили класику сприйняти такого тупого бездарного несинітного й безглуздого підходу жінками замінити чоловіків тупий феміністичний хід нехай кількість відвертої тупості укладається голові режисер мав мету навмисно занизити планку бо добився рекомендую дивитися а збирається запам ятайте тупа пародія має абсолютно ніякого відношення класичних мисливців привидів а комедію другого сорту дивитися дивиться поважаючи мізки,0
753,принципі фільм й поганий говорять подивитись жарти моменти викликають усмішку варто відзначити цілком пристойні спецефекти,0
755,згоден веселе кінце можливо справа завищених очікуваннях особисто дивився із задоволенням,0
757,думаю справа бояться приймати щось нове враження старі фільми хтось забирає стосується фільму й ремейків різного роду адаптацій зустрічаю коментарі типу колись причина безпощадно критикувати нове,0
15628,гарний фільм рекомендую,1
9470,десятибальній шкалі пятірку,0
8897,сильно любимо бумбокс фільми звучить доречно кумедний фільм смішних висловів,1
6086,прикольно мінуси російськомовних персонажів поменше а взагалі обійтись кон юктурщина виглядає кепсько а відмічали саундтрек,1
4448,насміявся досхочу цікавий фільм а головне веселий правильним меседжом кінці ніхто відмовлятися новин швидше творити а давати творити,1
3736,а музичний супровід китайській а діти розмовляють корейською а пенсіонери розмовляють монгольською а сюжет максимум трійку,0
3129,фільм чудовий впевнена фільм україні триматися десятці найкращих мінімум сценаристам акторам чудовий фільм,1
2881,російськомовні ігнорують жодного коменту,0
3159,російськомовні українською пишуть свідомі маю увазі,0
2196,фільм класний аще українці невміємо кіно знімати нерозуміє сучасному українському кіно,1
2146,філь гарний знято гарно діалоги акторський склад д гарна обгортка поганого меседжу головна ідея фільму відмовитись новин небезпечно повинні орієнтуватись відбувається країні вважаю має міра перетворюватись овочів навпаки інфоголіків стільки української гарної музики невже обов язково всунути борматання вєлікарусском,1
1922,класний фільм починають вчитися знімати хооші фільми,1
1745,весела комедія підіймає настрій раджу сімейного перегляду,1
1689,брєд повний тупий фільм повністю разу смішний мамахохотала ideaproduction говорить українське мою думку варто витраченого,0
1455,ідея голлівуд чудовий смішний фільм знімати фільми а москальські фільми бухариків страждальців мєнтів доречі трішки нагадує фільм брехун брехун бачили рекомендую ідея відрізняється,1
1323,хороший фільм,1
1304,щикарно дивився відриваючись побільше таких фільмів,1
1116,клас молодці,1
970,классний фільм приємний київ прорекламували,1
904,вартісна пошляцька комедія,1
901,найкраще,1
836,гарний хвільммабуть всі лосі тайзі подохлискресла крига пройшло незалежності знялиреально чудовий ф хв ільм,1
805,чудовий фільм українське кіно вийшло новий рівень,1
792,мабудь найкраще українське кіно яке бачив,1
729,класний фільм сподобалось очікувала українців,1
502,фільм супер глівуд,1
484,веселе кіно щось думав дивитися реально прикольно,1
439,фільм чудовий женя янович красень виконує роль побільше таких фільмів українське кіно ближче іноземних чудова комедія женя янович якби фільм іншим люблю найкращий актор побільше фільмів із ним,1
438,вав фільм реально класний зроблено круто актори монтаж сюжет сподобалися актори другого плану брата актробата танчики шпіляють супер,1
419,подивився одному подиху фільм вартий уваги українців прокинулись почуття патріотизму гордості мову те гумором гаразд відзняти хороший фільм ярику котрому сподобалися жарти привіт спробуй зняти кращий раді шкода чув фільм видно слабо рекламували раджу переглянути знаєте фільм подивитися єтесь пошуках авторам,1
404,ідіоти обирали саундтрек фільм хороший новий рівень,0
399,сподобалось такийже інфоголік женя тобто головний актер комедії,1
365,легке кіно просте,1
364,картина зібровим порадувала,1
346,фільм супер,1
344,українці зробити гарний цікавий гумористичний фільм круто,1
340,трата,0
309,фільм крутий сподобався питання фільмі вказано форматі full hd знайшов те hd вмікається плеєрі функції нема мже підскажете,1
313,друже чогось допетрав,1
224,хороший сюжет розвиваємось кіноіндустрії побільше таких фільмів наших екранах,1
216,фільм чудовий усе сподобалося,1
214,українська кінематографія почала випускати власні проекти фільм класний,1
212,ідеально звуку місцями тихіше місцями голосніше задоволений побаченим,1
204,продовження,1
178,дивився трейлер фільму шоу мама хохотала,1
176,фільм хороший гра акторів чудова цікавий сюжет милозвучна українська мова рекомендую,1
147,чоткий фильмец хотілосяб продовженя,1
143,хороший фільм,1
132,класний фільм,1
128,фільм супер можем захочем,1
103,першого фільму непогано радує більшості фільм український мові рекомедую перегляду оцінка,1
78,вибачте параша повна гумор розумово вілсталих невдала розкадровка убога акторська гра українці зняли набагато достойні фільми а оце,0
79,одно квартал кіно знімають картини,1
77,гарний фільм,1
51,продовження,1
50,класний фільм,1
45,супер можем захочем,1
46,повністю згідний,1
10221,те непогане кіно й шедевр,1
10094,реально крутий фільм рекомендую,1
7122,класний фільм сподобався,1
3219,безглузде кіно початок інтригуючий цікавий роботу патологоанатому а починається якийсь маразм й відповіді й дадуть кінці фільму тобто фільм розфарбовка додумай фільма поставив а кінець фільму мабуть мислячим людям кіно протипоказане любителям беззмістовних ужастиків,0
15252,дивовижне кіно справило враження шанувальник мюзиклів,1
13711,найкраще дивився останній,1
8648,чудовий фільм радісний сумний хотілося фільмі би титри пісень англомовні розуміти пісні,1
5284,фільм кажуть попав проревіла цілий пустила сльозу а ревіла підвивала обов язковий перегляду одна найкращих драм бачила,1
3063,перегляду відчуваю щось кшталт радісно сумно радісно,0
13978,да кріда ніщо,0
11525,емоційний фільм важкий водночас повчальний побоюсь слова стрічка стане кінокласикою,1
7582,фільм топових бокс,1
5404,класний фільм,1
2689,хороший фільм рекомендую перегляду,1
16121,рекомендовано перегляду фільм пустий спойлер думки перегляду от же мала мразота жили нормально деякі псують оточуючим,1
847,важка кінострічка сильно емоційна,0
15198,роблять спецслужби против суспільства народам брешуть жили багатії варто подивитися зробити висновки режисеру балів,1
12635,толкове динамчне кно костнер красавчик гляньте пожалкуете,1
6209,здався нудним фільм кожного різні вподобання,0
5385,раджу нормальним людям,1
41,а мокши дубляж а українською,0
27,із фільм вартий уваги костнер зіграв достойно,1
18110,загалом книга сподобалася значно фільм актори зіграли дость єдине взагалі зрозуміла нью йорк манхетен книзі згадувалось всі події відбувались лондоні вітні,0
13905,книга сподобалася,0
11537,фільм прекрасний таких бачив,1
9135,знаю чим змусити задуматися кіно вбивця здогадався жорстоке кіно люблю чорнуху логічні незрозумілі спогади головної героїні спогадах мала мінятися місцями своїм чоловіком дебільно виглядає поліція рейчел головною підозрюваною допитують те ув язнюють книжку читав кинув думав кіно враження справить,0
11536,ясно зрозуміло спогади уважніше дивитись фільм,0
7790,фільм змушує думати улюблених чудовий сюжет гра акторів неочікувана розв язка,1
6150,фільм супер улюблених,1
4142,класний фільм акторка зіграла суперово переклад гарний сюжет книзі,1
84,можу зрозуміти фільма низький рейтинг захваті емілі блант дівчини потязі акторка сучасному кіно,1
6149,imdb показник подивись топі якийсь второрозрядний шлак,0
17109,жахливий переклад точніше переклад а виконавці,0
1003,суворий фільм тяжкий фільм стаждання й муки христа вражає,0
17589,вистачає мотивації перегляньте фільм,1
17162,дуууже крутий фільм актори постановка супер усім рекомендую,1
16719,класний фільм перегляду душі відчуття справедливості перемоги людяності мудрості упередженостями рекомендую,1
13281,америка наса а досі окремі туалети чорношкірих якийсь південь наса мають вірити чорних хвороби передається сечу невже наса роки можу повірити,0
10612,фільм шикарний перекладав назву figures цифри фільм повинна перекладатися назва приховані цифри,1
11006,гра слів оригіналі перекладі складнощі такими речами,0
6753,фільм подивитись обов язково перемога людського розуму упередженням цілеспрямованіть завзятість вистачає вік соцмереж можливість здатність витиснути наявних умов можливе кажуть американці доля підсовує лимона робіть лимонад colored computers неймовірно середина двадцятого сторіччя обов язковий перегляду,1
6438,крутий фільм говорити згадувати лишаються закромах пам яті а золотих поличках,1
3019,класний фільм рекомендую,1
1487,крутий фільм сподівався кіно американців їхню цивілізацію часів перших польотів космос американці праві думає щось справжньому велике видатне свідомості місця такій дурні расова сегрегаці дискримінація статевим сексуальним ознакам круте веселе кіно правильним змістом,1
227,чудовий фільм боротьба афроамериканців рівність охоплювала одну сферу суспільного цікаво подивитись шлях сфері науки,1
12833,фільм знятий жахливо головні персонажі абсолютно розкриті ленгдон виглядає загублене цуценя якому постійно кажуть іти робити прочитання книжки сюжет незрозумілий книжка шедевр а фільм вартий уваги,0
10330,фільм шикарний,1
163,прохання адміністраторів замінити російський відеоряд український англійський,0
166,відеоряд замінено приємного перегляду,1
167,вельми вдячний,1
10227,капець рідкісна мура,0
8651,класний фільм режисер рідлі скот супер мет деймон зіграв раджу,1
7795,захопливий фільм,1
7736,цікавий фільм проблеми вирішення,1
7086,побачив фільм прочитав книждку друге почитав книжку розглядав книга мотивації а фантастика фільм супер а книга взагалі бомба,1
4736,фільм супер бомба,1
4088,збирався подивитись переглянув вдруге фільм неймовірно надихає раджу дивитись,1
3912,вартий перегляду бо багатьом причинам суто рідкість таких фільмів фільмів марс рідлі скот показав чудову картину оператор дивує пейзажами хромокею актори чудові мет деймон зігра погано а нормально дума вистачить отож раджу перегляду любить космос фільми виживання хороші заїжджені історії,1
1596,фільм бомба,1
8580,хороше кіно основане реальних подіях чимось нагадало вогнеборців,1
17854,примітивні соплі зеленого юнацтва,0
6869,нудота блювати перегляду фільму хочеться,0
5820,туфта даремна трата,0
4667,простенький фільм підлітків,0
8006,потужний фільм природу чим подумати змінити щось неможливо техногеніка незворушно крокує еволюціонує максимум людство зробить побудує великі зоологічні парки егоїстичної власної втіхи відпочинку,1
5518,погоджуюся попередніми коментарями найкраще траплялося повнометражних картин знятий природньо пафосу завантажили сюди,1
4526,чесно краща документалка дику природу яку колись бачив,1
125,думала таким задоволенням дивитимусь документальний фільм рекомендуватиму іншим,1
2036,пристойне продовження атмосферна картина,1
18089,критий фільм гемсворд грає роль,1
17802,обожнюю всі фільми marvel,1
4229,класне кіно,1
6219,фігня марвелівське лайно,0
6773,друже а удостоєний честі кінокритиком слід вимазувати іншим враження фільму такими слизькими некомпетентними висовлюваннями зарубай носі марвел обширний кіновсесвіт якому заулчено сотні видатних працівників диванному генералу судити якість фільму сидячи дупі,0
5561,купа кіногріхів пробував таки якось зрозуміти перегляди фільму допомогли звісно супергеройский блокбастер взялись пояснювати доведіть пуття зміг кишені тримати тонний танк вдаватись дрібниці фільм класний вартий перегляду,0
5296,класний фільм жду гу частину,1
307,фільм чудовий сюжет цікавий актори шикарні ідея щось нове кіноматографі фільм змішує комедію екшен фильм відрізняється супергеройських фільмів marvel прикрасний фільм приніс кіновсесвіт marvel якусь легкість свіжість рекомендую,1
16382,шикарний фільм,1
13992,зворушливий фільм жалкую подивився,1
12325,чудовий фільм незнаю відкладала перегляд,1
11084,добрий зворушливий фільм залишає приємний післясмак,1
4850,фільм класний перегляд одному диханні радість сльози водночас достойний перегляду,1
1955,фільм неперевершений пройняло глибини душі омар сі чудовий актор,1
668,фільм залишив частинку кіно хороше,1
499,хороше кіно,1
9313,а сподобався загальний опис точку круті,1
7418,чесно дивилась фільми вашому сайті такого бездарного висловлення анотації стало бридко фільму а маєте права загальному описі впарювати людям те думаєте назбирайте грошей оберіть акторів свій фільм побачимо оберете знайдуться вибір одобрить а думаю режисери знають підійде роль людям набридло дивитись ідеальних бездарних барбі екранах захотілось чогось нового простого а загалу прочитайте спершу книгу перш обсирати історію можливо фільм вийшов книга історія чудова бачу вмієте екран дививитись тупіти а читати речі касові збори фільму надзвичайно високі памятаю прокаті довше місяця місця постійно забиті всі триндять фільм гавно вульгарщина дивитись збираються бачили чомусь кіно гроші витрачали можете нормально обговорювати сприймати тему сексу визнаєте кожного бажання раджу піти психолога напевно секс рідко місіонерській позі а розумні чоловіки взяли замітку те жінок яким сподобався тип чоловіка крістіан грей слабкі чоловіки яким хочеться підкорятись жінка фігня такого хотіла хотіла цій ролі бачить удачі,0
9101,дурні відмазки стилі зніміть а критикуйте автори сайту написали думку щодо фільму можливо зекономивши людям збирались подивитись фільм завдячуючи наскільки рекламувався фільм маси автори обісрали історію фільму а книги ніхто заперечував книга хорошою вкотре сказали екранізація бездарна звинувачення невміння говорити секс взагалі стилі річної дитини яку образили а намагається відповідь щось схоже ніяк виходить жінок яким сподобався тип чоловіка крістіан грей слабкі чоловіки яким хочеться підкорятись мільярдером а наприклад звичайним менеджером середнього класу припускаю фільм книга мали такого успіху наполегливо заявляєте історія аргументи вигляді узагальнення жінок чоловіків недоречні доводять те анотація залишена авторами сайту швидше образила мрії власного крістіана грея,0
6138,шановний рецензенту фільм можливо згоден нав язувати власну думку варто,0
4766,продовження надзвичайно нудної історії збоченців зроблена збоченцями головні ролі взяли бездарних збочених дітей вишенька торті акторка дакота джонсон страшна бездарна автор опису розумна слово істина вперше бачу чесний опис фільму браво,0
3205,благаю дивіться прочитайте дивітися фільмі передано десятої частини суті книги переживань героїні сенсу таких стосунків пошкодуйте прочитайте одну книгу серії справді варта уваги історія рекомендую людям яким вогник пристрасті стосунках згасає,0
2430,блін краща анотація кіносайті яку колись читав поржав душі першого абзацу приємно знаєш редактори сайту вистьобують подібне кхххем кіно,1
9099,якби комент пропустив шедевр першому абзаці анотації uafilm топ,1
2428,можете казати фільм завгодно впевнений хотів би пережити події відбуваються фільмі реальному житті,1
2431,знайти мільярдера ременем сраці відлупцює,1
9098,ахахах,1
1760,господи вкотре дивлюсь фільм набридає чекаю нової частини відтінків свободи,1
1711,фільм кращий першу частину однозначно гарні краєвиди музичний ряд головний герой нудний перегляді ложка дьогтю головна героїня надто ніяка узагальнюючи вищесказане перегляду рекомендую,1
1588,фільм чедесний,1
1589,ой тобто чудесний,1
237,рецензія люкс абзац згідна сто,1
238,нема правди діти фільм відстій,0
17751,наполегливо рекомендую том генкс висоті особисто зачепило різному побачили капітані одні героя дочекавшись висновків суду навішали ярлик злочінця,1
5462,неймовірна історія порятунку клінту томузику задіяним відображенні події коректний дубляж,1
4617,гарний фільм,1
1950,класне кіно сильне реально чіпляє геройський вчинок майсрність саллі вражає вражає працює бюрократична система сша можеш тричі народним героєм усі соки вижмуть чомусь підозрюють би зрада піднялася страшно уявити влада переслідує героїв д п фільму усім раджу сильна драма,1
15248,маленький актор лисий грає пістолі головне,0
11570,гарний фільм професійно зроблений дубляж,1
9672,фільм супер перша частина із,1
16464,додали фільм збірку фільми супергероїв,0
7290,жахливий дубляж,0
6769,всі супермена пісюни бувби край фільм цільм сподобавсь,1
1498,найгірших фільмів,1
98,варіант завантажувати відео вбудованими субтитрами місцях перекладу,0
100,релізу жорсткими субтитрами наявності театральною розширеною версією вирішено завантажити розширену дивлячись відсутність перекладу,0
10917,варіант би англійскій знать му столітті,0
93,увімкнути субтитри місць прекладу,0
95,жаль ніяк надіємось знання англійської,0
97,сподіваємося,1
18116,балів можливо сподобається,0
11330,фільм заслуговує перегляд професійно провалів претензій вишуканність цільова аудіторія любителі героїчної фанттастики фентезі рамки жанру витримано бездоганно режисура акторська гра відеоряд спецефекти якісне бажаю задоволення перегляду,1
6258,фільм класний а от перекладом лажа деінде зникає,1
5435,одноразовий фільмець вийшов брат відьми круто продуманий а от палій мексиканець перевтіленні смішний вийшов уилл смітт взагалі знаю забув марго лєто круто відіграли таку харизматичну гру великий кінець,0
5325,чотка кіно актори супер всі раджу подивитися,1
5058,крутий фільм круті актори круті саундтреки реально заряджає харлі,1
1406,крутіше марвелівських коміксів якось стильніше щоіз міріади переглянутих фільмів запам ятався досі тримає,1
13878,неперевершенно захоплююче захваті фільму подарунок передивлявся цікаво адмірал принцеса лея зберіглися го го,1
16599,графон,0
13551,найкраща частина усіх мультяшний всі частини а серйозний драматичний фільм війну самопожертву різних людей заради спільної високої мети,1
9463,недумав зоряні війни зможуть викликати глибокі почуття чястина шедевр перегляду розуміеш якою непомірною ціною обійшлася нова надія повстанцям переглядом сподівався побачити провал стрічки пробудження сили натомість побачив диво,1
5502,єдиний фільм зв якому кіно вдало розумію лукаса казка зло добро подібне розбавлення франшизи необхідне останній якісний фільм лінійки далекої галактики справжньому епічний фінал франшизи бо останніх джедаїв соло якось хочеться відсторонити лінійки радий частину потрапив кіно звісно присутні сценарні недоліки якось звертати уваги найкращий візуал усіх частин віриш персонажам нема тупих діалогів сюжету кінець думати думати кожного особисте,1
2311,найкращий фільм із серіалу виявляється фантастика серйозним кіно рекомендую перегляду,1
1825,зоряні війни почнуть знімати індуси перестану дивитись нові серії кайфую,1
959,ха штурмовики й промахуються,0
686,усієі серіі найкращий,1
18120,рей дочкою люка скайуокера змініть ласка опис,0
5921,справді дивна назва новий порядок доволі символічно звучить щось нагадує щось захоплює владу руїнах імперії,0
5340,а має української версії фильму p s ярому фанату зв сподобався,1
8956,найгірша частина саги,0
15384,крута частинаросомаха неймовірний,1
2015,термінатор матриця штучний інтелект цій пародії сприймається скоріше божевільний примітив робот інтелекті грошей втюхали ідея пристойна актори грають якісно джарвіс усіх інтелекуалів побідив,1
38,місцями затягнуті деякі сцени цілому фільм сподобався останнім часом фільмах marvel дивитися титри кінця,1
12433,останнім а кожному фільмі марвел одна закадрова сцена а деяких подивитесь залізна побачите планували зібрати месників,0
13156,варто дивитись,1
5363,посередній сюжет стверджую перегляду фільму ставлю гумор гарну гру вілла сміта,0
1405,гарна розвага вечір,1
1030,класне кіно,1
16772,фільм чудовий легкий елементами комедії гарні враження перегляду,1
17839,а пригадуєте сферу приблизно відчуття кіно телепортує роздуми й фантазії дитинства думаю пошкодуєте переглянули,1
14106,те казав жак фреско єдина мова,0
6969,сильне глибоке загалом чудове кіно варте перегляду сюжет можливо динамічний фільм тримає напруженні кінця,1
6365,неймовірно захоплення,1
3961,сильно кіно вміє мислити екшн гадає звичайний фільм воюють прибульцями землю точно варто дивитися кіно збагнете а заснете дочекавшись екшену фільм відкриває нове розуміння прибульці тупі тварини яким територія ресурси людські жінки спарювання а розвиненими й спільного звіриним бажанням щось захоплювати привласнювати фільм чудовий бачу ставлять дизлайки хочеться подивитися недоумків звісно залишать комента бо зможуть обгрунтувати сподобалось,1
11302,чергові пихаті коментарі обожнюю вміє мислити відрізняються тварин зовнішністю а й здатні мислити опустіться землю панове землю,0
12560,переглядаєте пересічні коментарі абсолютно права жаль купа користувачів сайту вміє якісно чітко виражати думку взагалі враження їхнє мислення атрофоване отож кажіть небо землю впевніться правильності слів а висловлюйтесь,0
3744,надзвичайно глибокий розумінні фільм рекомендую,1
763,невігласам дивитися,0
742,надзвичайно ніжний фільм рада натрапила,1
10525,важкий фільм перегляду залишився неприємний осад,0
5898,фільм цікавий докінця переживання героїв противний сюжет батька психопата збоченця скажу фільм жахів дивитися набагато легше ногу ковдри страшно витягнути гидоту змішались релігія розпуста інцест жорстокість тупа самопожертва брррр огиднішого доводилось дивитись,0
8199,те реальне принципі річ складніша якийсь вигаданий жахістик,0
4621,фільм окрім язикої щей безмізку бабу,0
8200,тупість темні безправні жінок часи жінка замовчуванням винна смертних гріхах спротив прояв самоповаги мудрості рішучості змін ставленні суспільстві,1
8957,перших трьох частин дотягує,0
2909,да сибір всій красі кіно школярів цікавих локацій сценарій трійку стрічку витягує легендарний джекі оцінка фільму стрічок джекі чана,0
6850,фільм абсолютно негодиться перегляду неподобається хоть фільм патріотичний думаю сюжет би кращий придумав чим хоть цій сфері поняття немаю позор,0
2361,позитивно почали знімати патріотичні фільми чогось бракуе нашому кінематографу режисура подібна lt тіні забутих предків gt робить фільм важким протязі перегляду задумано хотіла передивлятись діяльність анни розвідницьку яку участь брала військових операція нема натомість ій надають роль якогось пророка попри раджу дивитися історія героям сллава,1
13942,от от хотів згадати тіні усе ніяк позбутися шаблонів поетичного кіно містичних образів напливів камери ін минув разу увійти воду продовжувати сидіти поспіль,0
1842,самий тупий фільм бачила витрачайте свій,0
454,криївці радіолла шо реально,1
13943,реально радіо працювало анодній батареї радіола а приймач,1
266,дивилися захватом наче читали історію упа бо східняками поповнювали пробіли шкільній програмі самостійно відображено подій героїв часів кінематографі вражаюча постать ганни михайлівни попович пройшла пекло підвалів мгб таборів втратила руку зламалася прожила довге змістовне одна багатьох вартих уваги відображення українському кінематографі вражають сучасні документальні фільми упівців пережили тортури табори мають дев яносто зберегли міцний дух розум незламні переконання й неабияке здоров живі свідки подій доносять правду нащадків,1
263,народ забуває минуле приречений майбутнього пам ятати виродки прийшли нашу землю катували довбуша борців волю україни вбивали гвалтували сьогоднішній незалежній україні горить ногами земля а навпаки отримують персональні пенсії пільги шану ветерани війни подвійні стандарти породили театр абсурду якому живемо часі докорінно змінити підхід українців толератності почати називати речі своїми іменами приймати справедливі рішення ворогів шанувати пам ять героїв,0
152,чудовий фільм побільше таких,1
133,має таких фільмів зрозуміли обставини змусили створити партизанську війну упа авторам,1
34,почали знімати кіно героїв минулого відродимо історичну пам ять відродимо україну,1
17883,актори висоті схоже театральну постановку,1
16344,шикарно фільм злодіїв драматичної історії минулого сижу сміюся дивилася нервах фільм подобається жоден персонаж хи хи коротко зрозумів фільм те паскуда отримала,1
10815,люблю фільми тарантіно цікава історія усі сценарії прото затягнуто години розумію пішло мільйони бюджету загалом рекомендую,1
9794,крутий фільм обов язковий перегляду,1
8811,бомба якесь похвальне слово вислів слів бракує чудесний рідкісний фільм шедевр своєрідний перегляду рекомендую,1
8672,бомба,1
8098,фільм шедевр діалоги тарантіно неймовірні,1
7034,взагалі фільм балаканина безглузда додивився півфільма зміг,0
7036,хтось балаканина тарантіно цікава десь плаче біг кахуна бургер eng big kahuna burger,0
8812,дивились фільм звуку фільм,0
6012,бездоганна неперевершена робота майстрів височенного класу людей талановитих втілюючих персонажей присмаком ріднесенького частинкою такого цікавого своєму сусідського гумору а михайло кришталь джо гейдж майкл медсон смакота,1
1513,чудова озвучка,1
719,блін переклад українській мові шикарний,1
725,згоден всі сто друже,1
8792,ремарочка дорозі мові образ озвучка українська українською мовою,0
4799,поганий кінчик двобої показані справді,0
162,сильно,1
32,шедевр найкраща спортивна драма останніх,1
14059,кіно хороше ніяк тулити історичних,0
15636,неймовірний фільм неймовірна історія,1
9019,те шукав плакав,1
7219,шикарний фільм надихає задуматися цінностями шануйте бережіть родину,1
5492,фільм вразив глибини душі настільки вдало поєднано емоції говорять перегляду почала цінувати батьків,1
5203,кажуть кожного вистачить сентиментів реально класна картина режисура актори сюжет музичне оформлення окремий діючий персонаж раджу переглягути,0
3421,гарний фільм,1
3251,хороший фільм рекомендую,1
2421,хороший фільм жахів сюжет продуманий можливо й присутня нотка бального захоплюючий фільм рекомендую,1
1792,самий звичайни класичний ужастік століття кута вискакує химера видає різки неприємний звук нагнітаючу музику сценарій продуманий цікавий цікаво дивитися загальному й погано кращих фільмів жахів бачив останні декілька оцінка кінцець,0
17745,фільм супер поглянути,0
1183,переглянувши фільм чомусь одразу згадала синійкит печально насправді закінчується кіно,0
6147,депрессивний додивився,0
16090,фільм начепто непоганий правда звук недуже,0
6265,перша частина органічною тему й логічно а цій частині ляп ляпі вирішили скопіювати другу частину підправивши лінії персонажів додавши нової зайвої маячні результаті сценарію збігається дивитися неможливо діалоги персонажів взагалі мовчу взагалі мовчали й роботи виконували те написали сценаристи підсумку екшн знято непогано й дивився першу частину приємно згадати побачити сталося а от полюбляє логіку фантастиці жахіття хтось взяв одну ваших улюблених стрічок й спотворив невпізнаності p s тупість прибульців першому контакті першому фільмі зрозуміла типу знають обезбашені й розраховували повторюють помилки вдруге виникає резонне питання а має розум внеземна цивілізація вчиться помилках й двічі наступає граблі,0
6216,д супер абсурдів частина жанру,1
16113,класний фільмне напрягає мозок вечір красиві актори,1
12077,марна трата грошей фільм нецікавий враження аматори знімали купа якісних спецеектів а режисура івно,0
5210,пречудовий фільм однозначно вартий перегляду,1
9703,фільм непоганий менш динамічний перша частина набагато менш страшний,0
5948,годиннику ночі віктом гроза дома обожнюю фільми жахів вважаю важко налякати пробачте випадку додивився фільм змушений дивитися якусь комедію бо можу заснути дивився рекомендую,1
2111,страшний цікавий,1
750,пройдистів суперовий дубляж комедія навіка,0
8718,файно смішно має,1
1349,перші частини набагато смішніші,0
17446,фільм повний абсурду кліше кліше,0
6215,фільмець супер,1
6206,шлак дітей норм,0
1794,серйозно фільм круто бачити черепашок межами d мультика мультики кращі частини попрацювали пофіксили деякі кіноляпи всерівно от скажіть здорова черепашка розміром людини пролазить вузький люк от фільм сирий жалію потртив думаю комусь обовязково сподобався особисто думка,0
1348,знімали,0
4292,хейтери понарозводились,0
10979,цікавий фільм ідея нова,1
9732,хороший фільм страшним задумка крута,1
6709,фільм супер перебільшення головний герой зіграв супер свій вік фільмі кімната зіграв,1
17027,гірко дивитися колорит,0
8901,сподобалось,1
7331,круте кіно щось цій глибинці справжньому українському колориті,1
16248,чуттєвий фільм неймовірними акторами переглядаю а надивитися ніяк можу p s й книжка фільм крутецький,1
